,identifier,status_of_existing_account,duration_in_month,credit_his,purpose,credit_amt,saving_account,preset_emp,installment_rate,personal_status_and_sex,guarantors
42,42,A12,18,A33,A45,6204,A61,A73,2,A93,A101
43,43,A11,30,A34,A41,6187,A62,A74,1,A94,A101
44,44,A11,48,A34,A41,6143,A61,A75,4,A92,A101
45,45,A14,11,A34,A40,1393,A61,A72,4,A92,A101
46,46,A14,36,A32,A43,2299,A63,A75,4,A93,A101
47,47,A11,6,A32,A41,1352,A63,A71,1,A92,A101
48,48,A14,11,A34,A40,7228,A61,A73,1,A93,A101
49,49,A14,12,A32,A43,2073,A62,A73,4,A92,A102
50,50,A12,24,A33,A42,2333,A65,A72,4,A93,A101
51,51,A12,27,A33,A41,5965,A61,A75,1,A93,A101
52,52,A14,12,A32,A43,1262,A61,A73,3,A93,A101
53,53,A14,18,A32,A41,3378,A65,A73,2,A93,A101
54,54,A12,36,A33,A40,2225,A61,A75,4,A93,A101
55,55,A14,6,A31,A40,783,A65,A73,1,A93,A103
56,56,A12,12,A32,A43,6468,A65,A71,2,A93,A101
57,57,A14,36,A34,A43,9566,A61,A73,2,A92,A101
58,58,A13,18,A32,A40,1961,A61,A75,3,A92,A101
59,59,A11,36,A34,A42,6229,A61,A72,4,A92,A102
60,60,A12,9,A32,A49,1391,A61,A73,2,A94,A101
61,61,A12,15,A34,A43,1537,A65,A75,4,A93,A103
62,62,A12,36,A30,A49,1953,A61,A75,4,A93,A101
63,63,A12,48,A30,A49,14421,A61,A73,2,A93,A101
64,64,A14,24,A32,A43,3181,A61,A72,4,A92,A101
65,65,A14,27,A32,A45,5190,A65,A75,4,A93,A101
66,66,A14,12,A32,A43,2171,A61,A72,2,A92,A101
67,67,A12,12,A32,A40,1007,A64,A73,4,A94,A101
68,68,A14,36,A32,A46,1819,A61,A73,4,A93,A101
69,69,A14,36,A32,A43,2394,A65,A73,4,A92,A101
70,70,A14,36,A32,A41,8133,A61,A73,1,A92,A101
71,71,A14,7,A34,A43,730,A65,A75,4,A93,A101
72,72,A11,8,A34,A410,1164,A61,A75,3,A93,A101
73,73,A12,42,A34,A49,5954,A61,A74,2,A92,A101
74,74,A11,36,A32,A46,1977,A65,A75,4,A93,A101
75,75,A11,12,A34,A41,1526,A61,A75,4,A93,A101
76,76,A11,42,A32,A43,3965,A61,A72,4,A93,A101
77,77,A12,11,A33,A43,4771,A61,A74,2,A93,A101
78,78,A14,54,A30,A41,9436,A65,A73,2,A93,A101
79,79,A12,30,A32,A42,3832,A61,A72,2,A94,A101
80,80,A14,24,A32,A43,5943,A65,A72,1,A92,A101
81,81,A14,15,A32,A43,1213,A63,A75,4,A93,A101
82,82,A14,18,A32,A49,1568,A62,A73,3,A92,A101
83,83,A11,24,A32,A410,1755,A61,A75,4,A92,A103
84,84,A11,10,A32,A43,2315,A61,A75,3,A93,A101
85,85,A14,12,A34,A49,1412,A61,A73,4,A92,A103
86,86,A12,18,A34,A42,1295,A61,A72,4,A92,A101
87,87,A12,36,A32,A46,12612,A62,A73,1,A93,A101
88,88,A11,18,A32,A40,2249,A62,A74,4,A93,A101
89,89,A11,12,A30,A45,1108,A61,A74,4,A93,A101
90,90,A14,12,A34,A43,618,A61,A75,4,A93,A101
91,91,A11,12,A34,A41,1409,A61,A75,4,A93,A101
92,92,A14,12,A34,A43,797,A65,A75,4,A92,A101
93,93,A13,24,A34,A42,3617,A65,A75,4,A93,A102
94,94,A12,12,A32,A40,1318,A64,A75,4,A93,A101
95,95,A12,54,A30,A49,15945,A61,A72,3,A93,A101
96,96,A14,12,A34,A46,2012,A65,A74,4,A92,A101
97,97,A12,18,A32,A49,2622,A62,A73,4,A93,A101
98,98,A12,36,A34,A43,2337,A61,A75,4,A93,A101
99,99,A12,20,A33,A41,7057,A65,A74,3,A93,A101
100,100,A14,24,A32,A40,1469,A62,A75,4,A94,A101
101,101,A12,36,A32,A43,2323,A61,A74,4,A93,A101
102,102,A14,6,A33,A43,932,A61,A73,3,A92,A101
103,103,A12,9,A34,A42,1919,A61,A74,4,A93,A101
104,104,A14,12,A32,A41,2445,A65,A72,2,A94,A101
105,105,A12,24,A34,A410,11938,A61,A73,2,A93,A102
106,106,A14,18,A31,A40,6458,A61,A75,2,A93,A101
107,107,A12,12,A32,A40,6078,A61,A74,2,A93,A101
108,108,A11,24,A32,A42,7721,A65,A72,1,A92,A101
109,109,A12,14,A32,A49,1410,A63,A75,1,A94,A101
110,110,A12,6,A33,A49,1449,A62,A75,1,A91,A101
111,111,A13,15,A32,A46,392,A61,A72,4,A92,A101
112,112,A12,18,A32,A40,6260,A61,A74,3,A93,A101
113,113,A14,36,A34,A40,7855,A61,A73,4,A92,A101
114,114,A11,12,A32,A43,1680,A63,A75,3,A94,A101
115,115,A14,48,A34,A43,3578,A65,A75,4,A93,A101
116,116,A11,42,A32,A43,7174,A65,A74,4,A92,A101
117,117,A11,10,A34,A42,2132,A65,A72,2,A92,A102
118,118,A11,33,A34,A42,4281,A63,A73,1,A92,A101
119,119,A12,12,A34,A40,2366,A63,A74,3,A91,A101
120,120,A11,21,A32,A43,1835,A61,A73,3,A92,A101
121,121,A14,24,A34,A41,3868,A61,A75,4,A92,A101
122,122,A14,12,A32,A42,1768,A61,A73,3,A93,A101
123,123,A13,10,A34,A40,781,A61,A75,4,A93,A101
124,124,A12,18,A32,A42,1924,A65,A72,4,A92,A101
125,125,A11,12,A34,A40,2121,A61,A73,4,A93,A101
126,126,A11,12,A32,A43,701,A61,A73,4,A94,A101
127,127,A12,12,A32,A45,639,A61,A73,4,A93,A101
128,128,A12,12,A34,A41,1860,A61,A71,4,A93,A101
129,129,A11,12,A34,A40,3499,A61,A73,3,A92,A102
130,130,A12,48,A32,A40,8487,A65,A74,1,A92,A101
131,131,A11,36,A33,A46,6887,A61,A73,4,A93,A101
132,132,A14,15,A32,A42,2708,A61,A72,2,A93,A101
133,133,A14,18,A32,A42,1984,A61,A73,4,A93,A101
134,134,A14,60,A32,A43,10144,A62,A74,2,A92,A101
135,135,A14,12,A34,A43,1240,A65,A75,4,A92,A101
136,136,A14,27,A33,A41,8613,A64,A73,2,A93,A101
137,137,A12,12,A32,A43,766,A63,A73,4,A93,A101
138,138,A12,15,A34,A43,2728,A65,A74,4,A93,A103
139,139,A13,12,A32,A43,1881,A61,A73,2,A92,A101
140,140,A13,6,A32,A40,709,A64,A72,2,A94,A101
141,141,A12,36,A32,A43,4795,A61,A72,4,A92,A101
142,142,A11,27,A32,A43,3416,A61,A73,3,A93,A101
143,143,A11,18,A32,A42,2462,A61,A73,2,A93,A101
144,144,A14,21,A34,A42,2288,A61,A72,4,A92,A101
145,145,A12,48,A31,A49,3566,A62,A74,4,A93,A101
146,146,A11,6,A34,A40,860,A61,A75,1,A92,A101
147,147,A14,12,A34,A40,682,A62,A74,4,A92,A101
148,148,A11,36,A34,A42,5371,A61,A73,3,A93,A103
149,149,A14,18,A34,A43,1582,A64,A75,4,A93,A101
150,150,A14,6,A32,A43,1346,A62,A75,2,A93,A101
151,151,A14,10,A32,A43,1924,A61,A73,1,A93,A101
152,152,A13,36,A32,A43,5848,A61,A73,4,A93,A101
153,153,A12,24,A34,A41,7758,A64,A75,2,A92,A101
154,154,A12,24,A33,A49,6967,A62,A74,4,A93,A101
155,155,A11,12,A32,A42,1282,A61,A73,2,A92,A101
156,156,A11,9,A34,A45,1288,A62,A75,3,A93,A103
157,157,A11,12,A31,A48,339,A61,A75,4,A94,A101
158,158,A12,24,A32,A40,3512,A62,A74,2,A93,A101
159,159,A14,6,A34,A43,1898,A65,A73,1,A93,A101
160,160,A14,24,A34,A43,2872,A62,A75,3,A93,A101
161,161,A14,18,A34,A40,1055,A61,A72,4,A92,A101
162,162,A14,15,A32,A44,1262,A63,A74,4,A93,A101
163,163,A12,10,A32,A40,7308,A61,A71,2,A93,A101
164,164,A14,36,A32,A40,909,A63,A75,4,A93,A101
165,165,A14,6,A32,A42,2978,A63,A73,1,A93,A101
166,166,A11,18,A32,A42,1131,A61,A71,4,A92,A101
167,167,A12,11,A32,A42,1577,A64,A72,4,A92,A101
168,168,A14,24,A32,A42,3972,A61,A74,2,A92,A101
169,169,A12,24,A34,A49,1935,A61,A75,4,A91,A101
170,170,A11,15,A30,A40,950,A61,A75,4,A93,A101
171,171,A14,12,A32,A42,763,A61,A73,4,A92,A101
172,172,A12,24,A33,A42,2064,A61,A71,3,A92,A101
173,173,A12,8,A32,A43,1414,A61,A73,4,A93,A103
174,174,A11,21,A33,A46,3414,A61,A72,2,A93,A101
175,175,A14,30,A31,A41,7485,A65,A71,4,A92,A101
176,176,A11,12,A32,A42,2577,A61,A73,2,A91,A101
177,177,A11,6,A34,A43,338,A63,A75,4,A93,A101
178,178,A14,12,A32,A43,1963,A61,A74,4,A93,A101
179,179,A11,21,A34,A40,571,A61,A75,4,A93,A101
180,180,A14,36,A33,A49,9572,A61,A72,1,A91,A101
181,181,A12,36,A33,A49,4455,A61,A73,2,A91,A101
182,182,A11,21,A31,A40,1647,A65,A73,4,A93,A101
183,183,A14,24,A34,A42,3777,A64,A73,4,A93,A101
184,184,A12,18,A34,A40,884,A61,A75,4,A93,A101
185,185,A14,15,A34,A43,1360,A61,A73,4,A93,A101
186,186,A12,9,A31,A41,5129,A61,A75,2,A92,A101
187,187,A12,16,A34,A40,1175,A61,A71,2,A93,A101
188,188,A11,12,A32,A43,674,A62,A74,4,A94,A101
189,189,A12,18,A30,A42,3244,A61,A73,1,A92,A101
190,190,A14,24,A32,A49,4591,A64,A73,2,A93,A101
191,191,A12,48,A30,A49,3844,A62,A74,4,A93,A101
192,192,A12,27,A32,A49,3915,A61,A73,4,A93,A101
193,193,A14,6,A32,A43,2108,A61,A74,2,A94,A101
194,194,A12,45,A32,A43,3031,A62,A73,4,A93,A103
195,195,A12,9,A34,A46,1501,A61,A75,2,A92,A101
196,196,A14,6,A34,A43,1382,A61,A73,1,A92,A101
197,197,A12,12,A32,A42,951,A62,A72,4,A92,A101
198,198,A12,24,A32,A41,2760,A65,A75,4,A93,A101
199,199,A12,18,A33,A42,4297,A61,A75,4,A91,A101
200,200,A14,9,A34,A46,936,A63,A75,4,A93,A101
201,201,A11,12,A32,A40,1168,A61,A73,4,A94,A101
202,202,A14,27,A33,A49,5117,A61,A74,3,A93,A101
203,203,A11,12,A32,A48,902,A61,A74,4,A94,A101
204,204,A14,12,A34,A40,1495,A61,A75,4,A93,A101
205,205,A11,30,A34,A41,10623,A61,A75,3,A93,A101
206,206,A14,12,A34,A42,1935,A61,A75,4,A93,A101
207,207,A12,12,A34,A44,1424,A61,A74,4,A93,A101
208,208,A11,24,A32,A49,6568,A61,A73,2,A94,A101
209,209,A14,12,A32,A41,1413,A64,A74,3,A93,A101
210,210,A14,9,A34,A43,3074,A65,A73,1,A93,A101
211,211,A14,36,A32,A43,3835,A65,A75,2,A92,A101
212,212,A11,27,A30,A49,5293,A61,A71,2,A93,A101
213,213,A13,30,A33,A49,1908,A61,A75,4,A93,A101
214,214,A14,36,A34,A43,3342,A65,A75,4,A93,A101
215,215,A12,6,A34,A48,932,A65,A74,1,A92,A101
216,216,A11,18,A30,A49,3104,A61,A74,3,A93,A101
217,217,A13,36,A32,A43,3913,A61,A73,2,A93,A101
218,218,A11,24,A32,A42,3021,A61,A73,2,A91,A101
219,219,A14,10,A32,A40,1364,A61,A73,2,A92,A101
220,220,A12,12,A32,A43,625,A61,A72,4,A94,A103
221,221,A11,12,A32,A46,1200,A65,A73,4,A92,A101
222,222,A14,12,A32,A43,707,A61,A73,4,A93,A101
223,223,A14,24,A33,A49,2978,A65,A73,4,A93,A101
224,224,A14,15,A32,A41,4657,A61,A73,3,A93,A101
225,225,A14,36,A30,A45,2613,A61,A73,4,A93,A101
226,226,A12,48,A32,A43,10961,A64,A74,1,A93,A102
227,227,A11,12,A32,A42,7865,A61,A75,4,A93,A101
228,228,A14,9,A32,A43,1478,A61,A74,4,A93,A101
229,229,A11,24,A32,A42,3149,A61,A72,4,A93,A101
230,230,A13,36,A32,A43,4210,A61,A73,4,A93,A101
231,231,A14,9,A32,A40,2507,A63,A75,2,A93,A101
232,232,A14,12,A32,A43,2141,A62,A74,3,A93,A101
233,233,A12,18,A32,A43,866,A61,A73,4,A94,A103
234,234,A14,4,A34,A43,1544,A61,A74,2,A93,A101
235,235,A11,24,A32,A43,1823,A61,A71,4,A93,A101
236,236,A12,6,A32,A40,14555,A65,A71,1,A93,A101
237,237,A12,21,A32,A49,2767,A62,A75,4,A91,A101
238,238,A14,12,A34,A43,1291,A61,A73,4,A92,A101
239,239,A11,30,A32,A43,2522,A61,A75,1,A93,A103
240,240,A11,24,A32,A40,915,A65,A75,4,A92,A101
241,241,A14,6,A32,A43,1595,A61,A74,3,A93,A101
242,242,A11,48,A30,A41,4605,A61,A75,3,A93,A101
243,243,A14,12,A34,A49,1185,A61,A73,3,A92,A101
244,244,A14,12,A31,A48,3447,A63,A73,4,A92,A101
245,245,A14,24,A32,A49,1258,A61,A74,4,A93,A101
246,246,A14,12,A34,A43,717,A61,A75,4,A93,A101
247,247,A14,6,A30,A40,1204,A62,A73,4,A93,A101
248,248,A13,24,A32,A42,1925,A61,A73,2,A93,A101
249,249,A14,18,A32,A43,433,A61,A71,3,A92,A102
250,250,A11,6,A34,A40,666,A64,A74,3,A92,A101
251,251,A13,12,A32,A42,2251,A61,A73,1,A92,A101
252,252,A12,30,A32,A40,2150,A61,A73,4,A92,A103
253,253,A14,24,A33,A42,4151,A62,A73,2,A93,A101
254,254,A12,9,A32,A42,2030,A65,A74,2,A93,A101
255,255,A12,60,A33,A43,7418,A65,A73,1,A93,A101
256,256,A14,24,A34,A43,2684,A61,A73,4,A93,A101
257,257,A11,12,A31,A43,2149,A61,A73,4,A91,A101
258,258,A14,15,A32,A41,3812,A62,A72,1,A92,A101
259,259,A14,11,A34,A43,1154,A62,A71,4,A92,A101
260,260,A11,12,A32,A42,1657,A61,A73,2,A93,A101
261,261,A11,24,A32,A43,1603,A61,A75,4,A92,A101
262,262,A11,18,A34,A40,5302,A61,A75,2,A93,A101
263,263,A14,12,A34,A46,2748,A61,A75,2,A92,A101
264,264,A14,10,A34,A40,1231,A61,A75,3,A93,A101
265,265,A12,15,A32,A43,802,A61,A75,4,A93,A101
266,266,A14,36,A34,A49,6304,A65,A75,4,A93,A101
267,267,A14,24,A32,A43,1533,A61,A72,4,A92,A101
268,268,A11,14,A32,A40,8978,A61,A75,1,A91,A101
269,269,A14,24,A32,A43,999,A65,A75,4,A93,A101
270,270,A14,18,A32,A40,2662,A65,A74,4,A93,A101
271,271,A14,12,A34,A42,1402,A63,A74,3,A92,A101
272,272,A12,48,A31,A40,12169,A65,A71,4,A93,A102
273,273,A12,48,A32,A43,3060,A61,A74,4,A93,A101
274,274,A11,30,A32,A45,11998,A61,A72,1,A91,A101
275,275,A14,9,A32,A43,2697,A61,A73,1,A93,A101
276,276,A14,18,A34,A43,2404,A61,A73,2,A92,A101
277,277,A11,12,A32,A42,1262,A65,A75,2,A91,A101
278,278,A14,6,A32,A42,4611,A61,A72,1,A92,A101
279,279,A14,24,A32,A43,1901,A62,A73,4,A93,A101
280,280,A14,15,A34,A41,3368,A64,A75,3,A93,A101
281,281,A14,12,A32,A42,1574,A61,A73,4,A93,A101
282,282,A13,18,A31,A43,1445,A65,A74,4,A93,A101
283,283,A14,15,A34,A42,1520,A65,A75,4,A93,A101
284,284,A12,24,A34,A40,3878,A62,A72,4,A91,A101
285,285,A11,47,A32,A40,10722,A61,A72,1,A92,A101
286,286,A11,48,A32,A41,4788,A61,A74,4,A93,A101
287,287,A12,48,A33,A410,7582,A62,A71,2,A93,A101
288,288,A12,12,A32,A43,1092,A61,A73,4,A92,A103
289,289,A11,24,A33,A43,1024,A61,A72,4,A94,A101
290,290,A14,12,A32,A49,1076,A61,A73,2,A94,A101
291,291,A12,36,A32,A41,9398,A61,A72,1,A94,A101
292,292,A11,24,A34,A41,6419,A61,A75,2,A92,A101
293,293,A13,42,A34,A41,4796,A61,A75,4,A93,A101
294,294,A14,48,A34,A49,7629,A65,A75,4,A91,A101
295,295,A12,48,A32,A42,9960,A61,A72,1,A92,A101
296,296,A14,12,A32,A41,4675,A65,A72,1,A92,A101
297,297,A14,10,A32,A40,1287,A65,A75,4,A93,A102
298,298,A14,18,A32,A42,2515,A61,A73,3,A93,A101
299,299,A12,21,A34,A42,2745,A64,A74,3,A93,A101
300,300,A14,6,A32,A40,672,A61,A71,1,A92,A101
301,301,A12,36,A30,A43,3804,A61,A73,4,A92,A101
302,302,A13,24,A34,A40,1344,A65,A74,4,A93,A101
303,303,A11,10,A34,A40,1038,A61,A74,4,A93,A102
304,304,A14,48,A34,A40,10127,A63,A73,2,A93,A101
305,305,A14,6,A32,A42,1543,A64,A73,4,A91,A101
306,306,A14,30,A32,A41,4811,A65,A74,2,A92,A101
307,307,A11,12,A32,A43,727,A62,A72,4,A94,A101
308,308,A12,8,A32,A42,1237,A61,A73,3,A92,A101
309,309,A12,9,A32,A40,276,A61,A73,4,A94,A101
310,310,A12,48,A32,A410,5381,A65,A71,3,A93,A101
311,311,A14,24,A32,A42,5511,A62,A73,4,A93,A101
312,312,A13,24,A32,A42,3749,A61,A72,2,A92,A101
313,313,A12,12,A32,A40,685,A61,A74,2,A94,A101
314,314,A13,4,A32,A40,1494,A65,A72,1,A93,A101
315,315,A11,36,A31,A42,2746,A61,A75,4,A93,A101
316,316,A11,12,A32,A42,708,A61,A73,2,A93,A103
317,317,A12,24,A32,A42,4351,A65,A73,1,A92,A101
318,318,A14,12,A34,A46,701,A61,A73,4,A93,A101
319,319,A11,15,A33,A42,3643,A61,A75,1,A92,A101
320,320,A12,30,A34,A40,4249,A61,A71,4,A94,A101
321,321,A11,24,A32,A43,1938,A61,A72,4,A91,A101
322,322,A11,24,A32,A41,2910,A61,A74,2,A93,A101
323,323,A11,18,A32,A42,2659,A64,A73,4,A93,A101
324,324,A14,18,A34,A40,1028,A61,A73,4,A92,A101
325,325,A11,8,A34,A40,3398,A61,A74,1,A93,A101
326,326,A14,12,A34,A42,5801,A65,A75,2,A93,A101
327,327,A14,24,A32,A40,1525,A64,A74,4,A92,A101
328,328,A13,36,A32,A43,4473,A61,A75,4,A93,A101
329,329,A12,6,A32,A43,1068,A61,A75,4,A93,A101
330,330,A11,24,A34,A41,6615,A61,A71,2,A93,A101
331,331,A14,18,A34,A46,1864,A62,A73,4,A92,A101
332,332,A12,60,A32,A40,7408,A62,A72,4,A92,A101
333,333,A14,48,A34,A41,11590,A62,A73,2,A92,A101
334,334,A11,24,A30,A42,4110,A61,A75,3,A93,A101
335,335,A11,6,A34,A42,3384,A61,A73,1,A91,A101
336,336,A12,13,A32,A43,2101,A61,A72,2,A92,A103
337,337,A11,15,A32,A44,1275,A65,A73,4,A92,A101
338,338,A11,24,A32,A42,4169,A61,A73,4,A93,A101
339,339,A12,10,A32,A42,1521,A61,A73,4,A91,A101
340,340,A12,24,A34,A46,5743,A61,A72,2,A92,A101
341,341,A11,21,A32,A42,3599,A61,A74,1,A92,A101
342,342,A12,18,A32,A43,3213,A63,A72,1,A94,A101
343,343,A12,18,A32,A49,4439,A61,A75,1,A93,A102
344,344,A13,10,A32,A40,3949,A61,A72,1,A93,A103
345,345,A14,15,A34,A43,1459,A61,A73,4,A92,A101
346,346,A12,13,A34,A43,882,A61,A72,4,A93,A103
347,347,A12,24,A32,A43,3758,A63,A71,1,A92,A101
348,348,A14,6,A33,A49,1743,A62,A73,1,A93,A101
349,349,A12,9,A34,A46,1136,A64,A75,4,A93,A101
350,350,A14,9,A32,A44,1236,A61,A72,1,A92,A101
351,351,A12,9,A32,A42,959,A61,A73,1,A92,A101
352,352,A14,18,A34,A41,3229,A65,A71,2,A93,A101
353,353,A11,12,A30,A43,6199,A61,A73,4,A93,A101
354,354,A14,10,A32,A46,727,A63,A75,4,A93,A101
355,355,A12,24,A32,A40,1246,A61,A72,4,A93,A101
356,356,A14,12,A34,A43,2331,A65,A75,1,A93,A102
357,357,A14,36,A33,A43,4463,A61,A73,4,A93,A101
358,358,A14,12,A32,A43,776,A61,A73,4,A94,A101
359,359,A11,30,A32,A42,2406,A61,A74,4,A92,A101
360,360,A12,18,A32,A46,1239,A65,A73,4,A93,A101
361,361,A13,12,A32,A43,3399,A65,A75,2,A93,A101
362,362,A13,12,A33,A40,2247,A61,A73,2,A92,A101
363,363,A14,6,A32,A42,1766,A61,A73,1,A94,A101
364,364,A11,18,A32,A42,2473,A61,A71,4,A93,A101
365,365,A14,12,A32,A49,1542,A61,A74,2,A93,A101
366,366,A14,18,A34,A41,3850,A61,A74,3,A93,A101
367,367,A11,18,A32,A42,3650,A61,A72,1,A92,A101
368,368,A11,36,A32,A42,3446,A61,A75,4,A93,A101
369,369,A12,18,A32,A42,3001,A61,A74,2,A92,A101
370,370,A14,36,A32,A40,3079,A65,A73,4,A93,A101
371,371,A14,18,A34,A43,6070,A61,A75,3,A93,A101
372,372,A14,10,A34,A42,2146,A61,A72,1,A92,A101
373,373,A14,60,A34,A40,13756,A65,A75,2,A93,A101
374,374,A12,60,A31,A410,14782,A62,A75,3,A92,A101
375,375,A11,48,A31,A49,7685,A61,A74,2,A92,A103
376,376,A14,18,A33,A43,2320,A61,A71,2,A94,A101
377,377,A14,7,A33,A43,846,A65,A75,3,A93,A101
378,378,A12,36,A32,A40,14318,A61,A75,4,A93,A101
379,379,A14,6,A34,A40,362,A62,A73,4,A92,A101
380,380,A11,20,A32,A42,2212,A65,A74,4,A93,A101
381,381,A12,18,A32,A41,12976,A61,A71,3,A92,A101
382,382,A14,22,A32,A40,1283,A65,A74,4,A92,A101
383,383,A13,12,A32,A40,1330,A61,A72,4,A93,A101
384,384,A14,30,A33,A49,4272,A62,A73,2,A93,A101
385,385,A14,18,A34,A43,2238,A61,A73,2,A92,A101
386,386,A14,18,A32,A43,1126,A65,A72,4,A92,A101
387,387,A12,18,A34,A42,7374,A61,A71,4,A93,A101
388,388,A12,15,A34,A49,2326,A63,A73,2,A93,A101
389,389,A14,9,A32,A49,1449,A61,A74,3,A92,A101
390,390,A14,18,A32,A40,1820,A61,A73,2,A94,A101
391,391,A12,12,A32,A42,983,A64,A72,1,A92,A101
392,392,A11,36,A32,A40,3249,A61,A74,2,A93,A101
393,393,A11,6,A34,A43,1957,A61,A74,1,A92,A101
394,394,A14,9,A34,A42,2406,A61,A71,2,A93,A101
395,395,A12,39,A33,A46,11760,A62,A74,2,A93,A101
396,396,A11,12,A32,A42,2578,A61,A71,3,A92,A101
397,397,A11,36,A34,A42,2348,A61,A73,3,A94,A101
398,398,A12,12,A32,A40,1223,A61,A75,1,A91,A101
399,399,A14,24,A34,A43,1516,A64,A73,4,A92,A101
400,400,A14,18,A32,A43,1473,A61,A72,3,A94,A101
401,401,A12,18,A34,A49,1887,A65,A73,4,A94,A101
402,402,A14,24,A33,A49,8648,A61,A72,2,A93,A101
403,403,A14,14,A33,A40,802,A61,A73,4,A93,A101
404,404,A12,18,A33,A40,2899,A65,A75,4,A93,A101
405,405,A12,24,A32,A43,2039,A61,A72,1,A94,A101
406,406,A14,24,A34,A41,2197,A65,A74,4,A93,A101
407,407,A11,15,A32,A43,1053,A61,A72,4,A94,A101
408,408,A14,24,A32,A43,3235,A63,A75,3,A91,A101
409,409,A13,12,A34,A40,939,A63,A74,4,A94,A101
410,410,A12,24,A32,A43,1967,A61,A75,4,A92,A101
411,411,A14,33,A34,A41,7253,A61,A74,3,A93,A101
412,412,A14,12,A34,A49,2292,A61,A71,4,A93,A101
413,413,A14,10,A32,A40,1597,A63,A73,3,A93,A101
414,414,A11,24,A32,A40,1381,A65,A73,4,A92,A101
415,415,A14,36,A34,A41,5842,A61,A75,2,A93,A101
416,416,A11,12,A32,A40,2579,A61,A72,4,A93,A101
417,417,A11,18,A33,A46,8471,A65,A73,1,A92,A101
418,418,A14,21,A32,A40,2782,A63,A74,1,A92,A101
419,419,A12,18,A32,A40,1042,A65,A73,4,A92,A101
420,420,A14,15,A32,A40,3186,A64,A74,2,A92,A101
421,421,A12,12,A32,A41,2028,A65,A73,4,A93,A101
422,422,A12,12,A34,A40,958,A61,A74,2,A93,A101
423,423,A14,21,A33,A42,1591,A62,A74,4,A93,A101
424,424,A12,12,A32,A42,2762,A65,A75,1,A92,A101
425,425,A12,18,A32,A41,2779,A61,A73,1,A94,A101
426,426,A14,28,A34,A43,2743,A61,A75,4,A93,A101
427,427,A14,18,A34,A43,1149,A64,A73,4,A93,A101
428,428,A14,9,A32,A42,1313,A61,A75,1,A93,A101
429,429,A11,18,A34,A45,1190,A61,A71,2,A92,A101
430,430,A14,5,A32,A49,3448,A61,A74,1,A93,A101
431,431,A12,24,A32,A410,11328,A61,A73,2,A93,A102
432,432,A11,6,A34,A42,1872,A61,A71,4,A93,A101
433,433,A14,24,A34,A45,2058,A61,A73,4,A91,A101
